"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","354","@smoke — login page has no critical a11y violations","","Sat Apr 11 06:05:57 UTC 2026","passed","Sat Apr 11 06:05:57 UTC 2026","","Accessibility Audits","",""
"","914","@regression missing last name shows validation error","","Sat Apr 11 06:06:05 UTC 2026","passed","Sat Apr 11 06:06:06 UTC 2026","","Checkout","",""
"","1038","@smoke invalid password shows error message","","Sat Apr 11 06:06:17 UTC 2026","passed","Sat Apr 11 06:06:18 UTC 2026","","Login","",""
"","280","@regression spies on initial page request and asserts 200","","Sat Apr 11 06:06:24 UTC 2026","passed","Sat Apr 11 06:06:24 UTC 2026","","Network — cy.intercept() showcase","",""
"","5223","@regression spies on JavaScript bundle requests during page load","","Sat Apr 11 06:06:24 UTC 2026","failed","Sat Apr 11 06:06:30 UTC 2026","","Network — cy.intercept() showcase","",""
"","5780","@regression stubs product images on inventory page with 404","","Sat Apr 11 06:06:30 UTC 2026","failed","Sat Apr 11 06:06:35 UTC 2026","","Network — cy.intercept() showcase","",""
"","15","@known-defect — inventory sort dropdown is missing an accessible label","","Sat Apr 11 06:05:58 UTC 2026","passed","Sat Apr 11 06:05:58 UTC 2026","","Accessibility Audits","",""
"","120121","@regression modifies a JS bundle response to inject a custom header","","Sat Apr 11 06:06:35 UTC 2026","failed","Sat Apr 11 06:08:36 UTC 2026","","Network — cy.intercept() showcase","",""
"","1864","@regression — inventory page meets performance budget","","Sat Apr 11 06:05:50 UTC 2026","failed","Sat Apr 11 06:05:52 UTC 2026","","Performance Audits — Lighthouse","",""
"","448","@regression logout returns to login page","","Sat Apr 11 06:06:20 UTC 2026","passed","Sat Apr 11 06:06:20 UTC 2026","","Login","",""
"","1441","@regression — checkout step 1 meets performance budget","","Sat Apr 11 06:05:52 UTC 2026","failed","Sat Apr 11 06:05:54 UTC 2026","","Performance Audits — Lighthouse","",""
"","922","@regression valid credentials navigate to inventory","","Sat Apr 11 06:06:19 UTC 2026","passed","Sat Apr 11 06:06:20 UTC 2026","","Login","",""
"","939","@regression locked-out user sees specific error","","Sat Apr 11 06:06:18 UTC 2026","passed","Sat Apr 11 06:06:19 UTC 2026","","Login","",""
"","246","@regression — checkout step 1 has no critical a11y violations","","Sat Apr 11 06:05:59 UTC 2026","passed","Sat Apr 11 06:05:59 UTC 2026","","Accessibility Audits","",""
"","407","@regression add then remove item removes cart badge","","Sat Apr 11 06:06:12 UTC 2026","passed","Sat Apr 11 06:06:12 UTC 2026","","Inventory","",""
"","268","@smoke add item to cart increments badge to 1","","Sat Apr 11 06:06:11 UTC 2026","passed","Sat Apr 11 06:06:12 UTC 2026","","Inventory","",""
"","816","@regression missing first name shows validation error","","Sat Apr 11 06:06:04 UTC 2026","passed","Sat Apr 11 06:06:05 UTC 2026","","Checkout","",""
"","550","@regression cancel checkout returns to cart","","Sat Apr 11 06:06:06 UTC 2026","passed","Sat Apr 11 06:06:07 UTC 2026","","Checkout","",""
"","299","@regression sort A→Z lists products alphabetically","","Sat Apr 11 06:06:12 UTC 2026","passed","Sat Apr 11 06:06:12 UTC 2026","","Inventory","",""
"","324","@regression navigate to cart shows added item","","Sat Apr 11 06:06:13 UTC 2026","passed","Sat Apr 11 06:06:13 UTC 2026","","Inventory","",""
"","347","@regression — cart page has no critical a11y violations","","Sat Apr 11 06:05:58 UTC 2026","passed","Sat Apr 11 06:05:59 UTC 2026","","Accessibility Audits","",""
"","304","@regression sort price low→high lists cheapest first","","Sat Apr 11 06:06:12 UTC 2026","passed","Sat Apr 11 06:06:13 UTC 2026","","Inventory","",""
"","1096","@regression complete full checkout shows success confirmation","","Sat Apr 11 06:06:03 UTC 2026","passed","Sat Apr 11 06:06:04 UTC 2026","","Checkout","",""
"","893","@regression — inventory page has no critical a11y violations","","Sat Apr 11 06:05:57 UTC 2026","passed","Sat Apr 11 06:05:58 UTC 2026","","Accessibility Audits","",""
"","182","@smoke page loads all 6 products","","Sat Apr 11 06:06:11 UTC 2026","passed","Sat Apr 11 06:06:11 UTC 2026","","Inventory","",""
"","388","@smoke empty username shows validation error","","Sat Apr 11 06:06:18 UTC 2026","passed","Sat Apr 11 06:06:18 UTC 2026","","Login","",""
"","2072","@regression — login page meets performance budget","","Sat Apr 11 06:05:48 UTC 2026","failed","Sat Apr 11 06:05:50 UTC 2026","","Performance Audits — Lighthouse","",""
