"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","924","@regression missing last name shows validation error","","Thu Mar 19 06:03:44 UTC 2026","passed","Thu Mar 19 06:03:45 UTC 2026","","Checkout","",""
"","966","@regression locked-out user sees specific error","","Thu Mar 19 06:03:57 UTC 2026","passed","Thu Mar 19 06:03:58 UTC 2026","","Login","",""
"","2123","@regression — login page meets performance budget","","Thu Mar 19 06:03:26 UTC 2026","failed","Thu Mar 19 06:03:28 UTC 2026","","Performance Audits — Lighthouse","",""
"","299","@regression sort price low→high lists cheapest first","","Thu Mar 19 06:03:52 UTC 2026","passed","Thu Mar 19 06:03:52 UTC 2026","","Inventory","",""
"","234","@regression spies on JavaScript bundle requests during page load","","Thu Mar 19 06:04:03 UTC 2026","passed","Thu Mar 19 06:04:04 UTC 2026","","Network — cy.intercept() showcase","",""
"","378","@smoke — login page has no critical a11y violations","","Thu Mar 19 06:03:35 UTC 2026","passed","Thu Mar 19 06:03:36 UTC 2026","","Accessibility Audits","",""
"","19","@known-defect — inventory sort dropdown is missing an accessible label","","Thu Mar 19 06:03:37 UTC 2026","passed","Thu Mar 19 06:03:37 UTC 2026","","Accessibility Audits","",""
"","1911","@regression — inventory page meets performance budget","","Thu Mar 19 06:03:28 UTC 2026","failed","Thu Mar 19 06:03:30 UTC 2026","","Performance Audits — Lighthouse","",""
"","458","@regression logout returns to login page","","Thu Mar 19 06:03:59 UTC 2026","passed","Thu Mar 19 06:04:00 UTC 2026","","Login","",""
"","346","@regression spies on initial page request and asserts 200","","Thu Mar 19 06:04:03 UTC 2026","passed","Thu Mar 19 06:04:03 UTC 2026","","Network — cy.intercept() showcase","",""
"","209","@smoke page loads all 6 products","","Thu Mar 19 06:03:50 UTC 2026","passed","Thu Mar 19 06:03:51 UTC 2026","","Inventory","",""
"","1083","@smoke invalid password shows error message","","Thu Mar 19 06:03:56 UTC 2026","passed","Thu Mar 19 06:03:57 UTC 2026","","Login","",""
"","302","@regression sort A→Z lists products alphabetically","","Thu Mar 19 06:03:51 UTC 2026","passed","Thu Mar 19 06:03:52 UTC 2026","","Inventory","",""
"","367","@regression — cart page has no critical a11y violations","","Thu Mar 19 06:03:37 UTC 2026","passed","Thu Mar 19 06:03:37 UTC 2026","","Accessibility Audits","",""
"","414","@regression add then remove item removes cart badge","","Thu Mar 19 06:03:51 UTC 2026","passed","Thu Mar 19 06:03:51 UTC 2026","","Inventory","",""
"","1444","@regression — checkout step 1 meets performance budget","","Thu Mar 19 06:03:30 UTC 2026","failed","Thu Mar 19 06:03:32 UTC 2026","","Performance Audits — Lighthouse","",""
"","981","@regression valid credentials navigate to inventory","","Thu Mar 19 06:03:58 UTC 2026","passed","Thu Mar 19 06:03:59 UTC 2026","","Login","",""
"","827","@regression missing first name shows validation error","","Thu Mar 19 06:03:43 UTC 2026","passed","Thu Mar 19 06:03:44 UTC 2026","","Checkout","",""
"","562","@regression cancel checkout returns to cart","","Thu Mar 19 06:03:45 UTC 2026","passed","Thu Mar 19 06:03:46 UTC 2026","","Checkout","",""
"","947","@regression — inventory page has no critical a11y violations","","Thu Mar 19 06:03:36 UTC 2026","passed","Thu Mar 19 06:03:37 UTC 2026","","Accessibility Audits","",""
"","141","@regression modifies a JS bundle response to inject a custom header","","Thu Mar 19 06:04:04 UTC 2026","passed","Thu Mar 19 06:04:05 UTC 2026","","Network — cy.intercept() showcase","",""
"","323","@regression navigate to cart shows added item","","Thu Mar 19 06:03:52 UTC 2026","passed","Thu Mar 19 06:03:52 UTC 2026","","Inventory","",""
"","263","@regression — checkout step 1 has no critical a11y violations","","Thu Mar 19 06:03:37 UTC 2026","passed","Thu Mar 19 06:03:37 UTC 2026","","Accessibility Audits","",""
"","692","@regression stubs product images on inventory page with 404","","Thu Mar 19 06:04:04 UTC 2026","passed","Thu Mar 19 06:04:04 UTC 2026","","Network — cy.intercept() showcase","",""
"","262","@smoke add item to cart increments badge to 1","","Thu Mar 19 06:03:51 UTC 2026","passed","Thu Mar 19 06:03:51 UTC 2026","","Inventory","",""
"","386","@smoke empty username shows validation error","","Thu Mar 19 06:03:57 UTC 2026","passed","Thu Mar 19 06:03:57 UTC 2026","","Login","",""
"","1123","@regression complete full checkout shows success confirmation","","Thu Mar 19 06:03:42 UTC 2026","passed","Thu Mar 19 06:03:43 UTC 2026","","Checkout","",""
