"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","397","@smoke empty username shows validation error","","Wed Mar 11 19:58:54 UTC 2026","passed","Wed Mar 11 19:58:55 UTC 2026","","Login","",""
"","166","@regression modifies a JS bundle response to inject a custom header","","Wed Mar 11 19:59:02 UTC 2026","passed","Wed Mar 11 19:59:02 UTC 2026","","Network — cy.intercept() showcase","",""
"","406","@regression add then remove item removes cart badge","","Wed Mar 11 19:58:48 UTC 2026","passed","Wed Mar 11 19:58:49 UTC 2026","","Inventory","",""
"","238","@regression spies on JavaScript bundle requests during page load","","Wed Mar 11 19:59:01 UTC 2026","passed","Wed Mar 11 19:59:01 UTC 2026","","Network — cy.intercept() showcase","",""
"","916","@regression missing last name shows validation error","","Wed Mar 11 19:58:42 UTC 2026","passed","Wed Mar 11 19:58:43 UTC 2026","","Checkout","",""
"","947","@regression locked-out user sees specific error","","Wed Mar 11 19:58:55 UTC 2026","passed","Wed Mar 11 19:58:56 UTC 2026","","Login","",""
"","392","@regression — cart page has no critical a11y violations","","Wed Mar 11 19:58:34 UTC 2026","passed","Wed Mar 11 19:58:35 UTC 2026","","Accessibility Audits","",""
"","1035","@smoke invalid password shows error message","","Wed Mar 11 19:58:53 UTC 2026","passed","Wed Mar 11 19:58:54 UTC 2026","","Login","",""
"","18","@known-defect — inventory sort dropdown is missing an accessible label","","Wed Mar 11 19:58:34 UTC 2026","passed","Wed Mar 11 19:58:34 UTC 2026","","Accessibility Audits","",""
"","946","@regression — inventory page has no critical a11y violations","","Wed Mar 11 19:58:33 UTC 2026","passed","Wed Mar 11 19:58:34 UTC 2026","","Accessibility Audits","",""
"","196","@smoke page loads all 6 products","","Wed Mar 11 19:58:48 UTC 2026","passed","Wed Mar 11 19:58:48 UTC 2026","","Inventory","",""
"","320","@regression navigate to cart shows added item","","Wed Mar 11 19:58:49 UTC 2026","passed","Wed Mar 11 19:58:50 UTC 2026","","Inventory","",""
"","2097","@regression — login page meets performance budget","","Wed Mar 11 19:58:24 UTC 2026","failed","Wed Mar 11 19:58:26 UTC 2026","","Performance Audits — Lighthouse","",""
"","686","@regression stubs product images on inventory page with 404","","Wed Mar 11 19:59:01 UTC 2026","passed","Wed Mar 11 19:59:02 UTC 2026","","Network — cy.intercept() showcase","",""
"","450","@regression logout returns to login page","","Wed Mar 11 19:58:57 UTC 2026","passed","Wed Mar 11 19:58:57 UTC 2026","","Login","",""
"","1954","@regression — inventory page meets performance budget","","Wed Mar 11 19:58:26 UTC 2026","failed","Wed Mar 11 19:58:28 UTC 2026","","Performance Audits — Lighthouse","",""
"","297","@regression sort A→Z lists products alphabetically","","Wed Mar 11 19:58:49 UTC 2026","passed","Wed Mar 11 19:58:49 UTC 2026","","Inventory","",""
"","924","@regression valid credentials navigate to inventory","","Wed Mar 11 19:58:56 UTC 2026","passed","Wed Mar 11 19:58:56 UTC 2026","","Login","",""
"","369","@smoke — login page has no critical a11y violations","","Wed Mar 11 19:58:33 UTC 2026","passed","Wed Mar 11 19:58:33 UTC 2026","","Accessibility Audits","",""
"","1209","@regression complete full checkout shows success confirmation","","Wed Mar 11 19:58:40 UTC 2026","passed","Wed Mar 11 19:58:41 UTC 2026","","Checkout","",""
"","323","@regression spies on initial page request and asserts 200","","Wed Mar 11 19:59:00 UTC 2026","passed","Wed Mar 11 19:59:01 UTC 2026","","Network — cy.intercept() showcase","",""
"","269","@regression — checkout step 1 has no critical a11y violations","","Wed Mar 11 19:58:35 UTC 2026","passed","Wed Mar 11 19:58:35 UTC 2026","","Accessibility Audits","",""
"","1427","@regression — checkout step 1 meets performance budget","","Wed Mar 11 19:58:28 UTC 2026","failed","Wed Mar 11 19:58:30 UTC 2026","","Performance Audits — Lighthouse","",""
"","823","@regression missing first name shows validation error","","Wed Mar 11 19:58:41 UTC 2026","passed","Wed Mar 11 19:58:42 UTC 2026","","Checkout","",""
"","302","@regression sort price low→high lists cheapest first","","Wed Mar 11 19:58:49 UTC 2026","passed","Wed Mar 11 19:58:49 UTC 2026","","Inventory","",""
"","262","@smoke add item to cart increments badge to 1","","Wed Mar 11 19:58:48 UTC 2026","passed","Wed Mar 11 19:58:48 UTC 2026","","Inventory","",""
"","559","@regression cancel checkout returns to cart","","Wed Mar 11 19:58:43 UTC 2026","passed","Wed Mar 11 19:58:43 UTC 2026","","Checkout","",""
