"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","381","@smoke empty username shows validation error","","Sat Mar 21 05:51:29 UTC 2026","passed","Sat Mar 21 05:51:29 UTC 2026","","Login","",""
"","302","@regression sort price low→high lists cheapest first","","Sat Mar 21 05:51:24 UTC 2026","passed","Sat Mar 21 05:51:24 UTC 2026","","Inventory","",""
"","562","@smoke — login page has no critical a11y violations","","Sat Mar 21 05:51:08 UTC 2026","passed","Sat Mar 21 05:51:08 UTC 2026","","Accessibility Audits","",""
"","208","@regression spies on JavaScript bundle requests during page load","","Sat Mar 21 05:51:35 UTC 2026","passed","Sat Mar 21 05:51:35 UTC 2026","","Network — cy.intercept() showcase","",""
"","312","@regression spies on initial page request and asserts 200","","Sat Mar 21 05:51:35 UTC 2026","passed","Sat Mar 21 05:51:35 UTC 2026","","Network — cy.intercept() showcase","",""
"","303","@regression sort A→Z lists products alphabetically","","Sat Mar 21 05:51:23 UTC 2026","passed","Sat Mar 21 05:51:23 UTC 2026","","Inventory","",""
"","180","@smoke page loads all 6 products","","Sat Mar 21 05:51:22 UTC 2026","passed","Sat Mar 21 05:51:22 UTC 2026","","Inventory","",""
"","1493","@regression — checkout step 1 meets performance budget","","Sat Mar 21 05:51:02 UTC 2026","failed","Sat Mar 21 05:51:04 UTC 2026","","Performance Audits — Lighthouse","",""
"","2406","@regression — login page meets performance budget","","Sat Mar 21 05:50:58 UTC 2026","failed","Sat Mar 21 05:51:00 UTC 2026","","Performance Audits — Lighthouse","",""
"","933","@regression missing last name shows validation error","","Sat Mar 21 05:51:16 UTC 2026","passed","Sat Mar 21 05:51:17 UTC 2026","","Checkout","",""
"","1988","@regression — inventory page meets performance budget","","Sat Mar 21 05:51:00 UTC 2026","failed","Sat Mar 21 05:51:02 UTC 2026","","Performance Audits — Lighthouse","",""
"","16","@known-defect — inventory sort dropdown is missing an accessible label","","Sat Mar 21 05:51:09 UTC 2026","passed","Sat Mar 21 05:51:09 UTC 2026","","Accessibility Audits","",""
"","1035","@smoke invalid password shows error message","","Sat Mar 21 05:51:28 UTC 2026","passed","Sat Mar 21 05:51:29 UTC 2026","","Login","",""
"","409","@regression add then remove item removes cart badge","","Sat Mar 21 05:51:23 UTC 2026","passed","Sat Mar 21 05:51:23 UTC 2026","","Inventory","",""
"","948","@regression locked-out user sees specific error","","Sat Mar 21 05:51:29 UTC 2026","passed","Sat Mar 21 05:51:30 UTC 2026","","Login","",""
"","282","@regression — checkout step 1 has no critical a11y violations","","Sat Mar 21 05:51:10 UTC 2026","passed","Sat Mar 21 05:51:10 UTC 2026","","Accessibility Audits","",""
"","929","@regression valid credentials navigate to inventory","","Sat Mar 21 05:51:30 UTC 2026","passed","Sat Mar 21 05:51:31 UTC 2026","","Login","",""
"","319","@regression navigate to cart shows added item","","Sat Mar 21 05:51:24 UTC 2026","passed","Sat Mar 21 05:51:24 UTC 2026","","Inventory","",""
"","258","@smoke add item to cart increments badge to 1","","Sat Mar 21 05:51:22 UTC 2026","passed","Sat Mar 21 05:51:23 UTC 2026","","Inventory","",""
"","555","@regression cancel checkout returns to cart","","Sat Mar 21 05:51:17 UTC 2026","passed","Sat Mar 21 05:51:18 UTC 2026","","Checkout","",""
"","367","@regression — cart page has no critical a11y violations","","Sat Mar 21 05:51:09 UTC 2026","passed","Sat Mar 21 05:51:10 UTC 2026","","Accessibility Audits","",""
"","133","@regression modifies a JS bundle response to inject a custom header","","Sat Mar 21 05:51:36 UTC 2026","passed","Sat Mar 21 05:51:36 UTC 2026","","Network — cy.intercept() showcase","",""
"","868","@regression missing first name shows validation error","","Sat Mar 21 05:51:15 UTC 2026","passed","Sat Mar 21 05:51:16 UTC 2026","","Checkout","",""
"","468","@regression logout returns to login page","","Sat Mar 21 05:51:31 UTC 2026","passed","Sat Mar 21 05:51:32 UTC 2026","","Login","",""
"","1174","@regression complete full checkout shows success confirmation","","Sat Mar 21 05:51:14 UTC 2026","passed","Sat Mar 21 05:51:15 UTC 2026","","Checkout","",""
"","978","@regression — inventory page has no critical a11y violations","","Sat Mar 21 05:51:08 UTC 2026","passed","Sat Mar 21 05:51:09 UTC 2026","","Accessibility Audits","",""
"","690","@regression stubs product images on inventory page with 404","","Sat Mar 21 05:51:35 UTC 2026","passed","Sat Mar 21 05:51:36 UTC 2026","","Network — cy.intercept() showcase","",""
