"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","433","@regression modifies a JS bundle response to inject a custom header","","2026-07-31","passed","2026-07-31","","Network — cy.intercept() showcase (JS bundles)","",""
"","1","@regression — checkout step 1 meets performance budget","","2026-07-31","skipped","2026-07-31","","Performance Audits — Lighthouse","",""
"","323","@regression navigate to cart shows added item","","2026-07-31","passed","2026-07-31","","Inventory","",""
"","251","@regression — checkout step 1 has no critical a11y violations","","2026-07-31","passed","2026-07-31","","Accessibility Audits","",""
"","405","@regression add then remove item removes cart badge","","2026-07-31","passed","2026-07-31","","Inventory","",""
"","948","@regression locked-out user sees specific error","","2026-07-31","passed","2026-07-31","","Login","",""
"","20","@known-defect — inventory sort dropdown is missing an accessible label","","2026-07-31","passed","2026-07-31","","Accessibility Audits","",""
"","942","@regression valid credentials navigate to inventory","","2026-07-31","passed","2026-07-31","","Login","",""
"","920","@regression missing last name shows validation error","","2026-07-31","passed","2026-07-31","","Checkout","",""
"","351","@regression — cart page has no critical a11y violations","","2026-07-31","passed","2026-07-31","","Accessibility Audits","",""
"","258","@smoke add item to cart increments badge to 1","","2026-07-31","passed","2026-07-31","","Inventory","",""
"","383","@smoke empty username shows validation error","","2026-07-31","passed","2026-07-31","","Login","",""
"","1052","@smoke invalid password shows error message","","2026-07-31","passed","2026-07-31","","Login","",""
"","1025","@regression stubs product images on inventory page with 404","","2026-07-31","passed","2026-07-31","","Network — cy.intercept() showcase (shared session)","",""
"","834","@regression missing first name shows validation error","","2026-07-31","passed","2026-07-31","","Checkout","",""
"","916","@regression — inventory page has no critical a11y violations","","2026-07-31","passed","2026-07-31","","Accessibility Audits","",""
"","455","@regression logout returns to login page","","2026-07-31","passed","2026-07-31","","Login","",""
"","3","@regression — login page meets performance budget","","2026-07-31","skipped","2026-07-31","","Performance Audits — Lighthouse","",""
"","516","@regression spies on initial page request and asserts 200","","2026-07-31","passed","2026-07-31","","Network — cy.intercept() showcase (shared session)","",""
"","186","@smoke page loads all 6 products","","2026-07-31","passed","2026-07-31","","Inventory","",""
"","293","@regression spies on JavaScript bundle requests during page load","","2026-07-31","passed","2026-07-31","","Network — cy.intercept() showcase (JS bundles)","",""
"","303","@regression sort price low→high lists cheapest first","","2026-07-31","passed","2026-07-31","","Inventory","",""
"","1106","@regression complete full checkout shows success confirmation","","2026-07-31","passed","2026-07-31","","Checkout","",""
"","551","@regression cancel checkout returns to cart","","2026-07-31","passed","2026-07-31","","Checkout","",""
"","297","@regression sort A→Z lists products alphabetically","","2026-07-31","passed","2026-07-31","","Inventory","",""
"","319","@smoke — login page has no critical a11y violations","","2026-07-31","passed","2026-07-31","","Accessibility Audits","",""
"","2","@regression — inventory page meets performance budget","","2026-07-31","skipped","2026-07-31","","Performance Audits — Lighthouse","",""
