"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Login Functionality","5","0","","0"
"0","","1","Dashboard Functionality","4","0","","0"
"0","","0","API Health and Data Integrity","6","0","","0"
"0","","1","Security","3","0","","0"
"0","","2","Inventory Page Functionality","2","0","","0"
"0","","1","Shopping Cart Functionality","1","0","","0"
