"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Dashboard Functionality","5","0","","0"
"0","","0","Login Functionality","6","0","","0"
"0","","0","API Health and Data Integrity","6","0","","0"
"1","","1","Inventory Page Functionality","2","0","","0"
"0","","0","Security","3","1","","0"
"0","","0","Shopping Cart Functionality","2","0","","0"
