"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120186","@regression — checkout step 1 meets performance budget","","Wed Mar 11 18:15:56 UTC 2026","failed","Wed Mar 11 18:17:56 UTC 2026","","Performance Audits — Lighthouse","",""
"","481","@regression logout returns to login page","","Wed Mar 11 18:01:43 UTC 2026","passed","Wed Mar 11 18:01:44 UTC 2026","","Login","",""
"","228","@regression spies on JavaScript bundle requests during page load","","Wed Mar 11 18:01:47 UTC 2026","passed","Wed Mar 11 18:01:48 UTC 2026","","Network — cy.intercept() showcase","",""
"","1088","@regression complete full checkout shows success confirmation","","Wed Mar 11 18:01:26 UTC 2026","passed","Wed Mar 11 18:01:27 UTC 2026","","Checkout","",""
"","390","@smoke — login page has no critical a11y violations","","Wed Mar 11 18:01:20 UTC 2026","passed","Wed Mar 11 18:01:20 UTC 2026","","Accessibility Audits","",""
"","906","@regression missing last name shows validation error","","Wed Mar 11 18:01:28 UTC 2026","passed","Wed Mar 11 18:01:29 UTC 2026","","Checkout","",""
"","989","@regression — inventory page has no critical a11y violations","","Wed Mar 11 18:01:20 UTC 2026","passed","Wed Mar 11 18:01:21 UTC 2026","","Accessibility Audits","",""
"","263","@smoke add item to cart increments badge to 1","","Wed Mar 11 18:01:34 UTC 2026","passed","Wed Mar 11 18:01:35 UTC 2026","","Inventory","",""
"","697","@regression stubs product images on inventory page with 404","","Wed Mar 11 18:01:48 UTC 2026","passed","Wed Mar 11 18:01:48 UTC 2026","","Network — cy.intercept() showcase","",""
"","1070","@smoke invalid password shows error message","","Wed Mar 11 18:01:39 UTC 2026","passed","Wed Mar 11 18:01:41 UTC 2026","","Login","",""
"","120171","@regression — inventory page meets performance budget","","Wed Mar 11 18:09:55 UTC 2026","failed","Wed Mar 11 18:11:55 UTC 2026","","Performance Audits — Lighthouse","",""
"","120148","@regression — login page meets performance budget","","Wed Mar 11 18:03:54 UTC 2026","failed","Wed Mar 11 18:05:55 UTC 2026","","Performance Audits — Lighthouse","",""
"","137","@regression modifies a JS bundle response to inject a custom header","","Wed Mar 11 18:01:48 UTC 2026","passed","Wed Mar 11 18:01:49 UTC 2026","","Network — cy.intercept() showcase","",""
"","320","@regression navigate to cart shows added item","","Wed Mar 11 18:01:36 UTC 2026","passed","Wed Mar 11 18:01:36 UTC 2026","","Inventory","",""
"","368","@regression — cart page has no critical a11y violations","","Wed Mar 11 18:01:21 UTC 2026","passed","Wed Mar 11 18:01:22 UTC 2026","","Accessibility Audits","",""
"","1009","@regression valid credentials navigate to inventory","","Wed Mar 11 18:01:42 UTC 2026","passed","Wed Mar 11 18:01:43 UTC 2026","","Login","",""
"","958","@regression locked-out user sees specific error","","Wed Mar 11 18:01:41 UTC 2026","passed","Wed Mar 11 18:01:42 UTC 2026","","Login","",""
"","296","@regression sort price low→high lists cheapest first","","Wed Mar 11 18:01:35 UTC 2026","passed","Wed Mar 11 18:01:36 UTC 2026","","Inventory","",""
"","181","@smoke page loads all 6 products","","Wed Mar 11 18:01:34 UTC 2026","passed","Wed Mar 11 18:01:34 UTC 2026","","Inventory","",""
"","302","@regression sort A→Z lists products alphabetically","","Wed Mar 11 18:01:35 UTC 2026","passed","Wed Mar 11 18:01:35 UTC 2026","","Inventory","",""
"","388","@smoke empty username shows validation error","","Wed Mar 11 18:01:41 UTC 2026","passed","Wed Mar 11 18:01:41 UTC 2026","","Login","",""
"","403","@regression add then remove item removes cart badge","","Wed Mar 11 18:01:35 UTC 2026","passed","Wed Mar 11 18:01:35 UTC 2026","","Inventory","",""
"","819","@regression missing first name shows validation error","","Wed Mar 11 18:01:27 UTC 2026","passed","Wed Mar 11 18:01:28 UTC 2026","","Checkout","",""
"","259","@regression — checkout step 1 has no critical a11y violations","","Wed Mar 11 18:01:22 UTC 2026","passed","Wed Mar 11 18:01:22 UTC 2026","","Accessibility Audits","",""
"","34","@known-defect — inventory sort dropdown is missing an accessible label","","Wed Mar 11 18:01:21 UTC 2026","passed","Wed Mar 11 18:01:21 UTC 2026","","Accessibility Audits","",""
"","346","@regression spies on initial page request and asserts 200","","Wed Mar 11 18:01:47 UTC 2026","passed","Wed Mar 11 18:01:47 UTC 2026","","Network — cy.intercept() showcase","",""
"","545","@regression cancel checkout returns to cart","","Wed Mar 11 18:01:29 UTC 2026","passed","Wed Mar 11 18:01:30 UTC 2026","","Checkout","",""
