"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","291","@smoke — login page has no critical a11y violations","","Sat May 16 07:21:59 UTC 2026","passed","Sat May 16 07:22:00 UTC 2026","","Accessibility Audits","",""
"","917","@regression locked-out user sees specific error","","Sat May 16 07:22:18 UTC 2026","passed","Sat May 16 07:22:19 UTC 2026","","Login","",""
"","458","@regression logout returns to login page","","Sat May 16 07:22:20 UTC 2026","passed","Sat May 16 07:22:21 UTC 2026","","Login","",""
"","292","@regression sort A→Z lists products alphabetically","","Sat May 16 07:22:13 UTC 2026","passed","Sat May 16 07:22:13 UTC 2026","","Inventory","",""
"","227","@regression — checkout step 1 has no critical a11y violations","","Sat May 16 07:22:01 UTC 2026","passed","Sat May 16 07:22:01 UTC 2026","","Accessibility Audits","",""
"","372","@smoke empty username shows validation error","","Sat May 16 07:22:18 UTC 2026","passed","Sat May 16 07:22:18 UTC 2026","","Login","",""
"","979","@smoke invalid password shows error message","","Sat May 16 07:22:17 UTC 2026","passed","Sat May 16 07:22:18 UTC 2026","","Login","",""
"","258","@regression spies on initial page request and asserts 200","","Sat May 16 07:22:24 UTC 2026","passed","Sat May 16 07:22:24 UTC 2026","","Network — cy.intercept() showcase","",""
"","124","@regression modifies a JS bundle response to inject a custom header","","Sat May 16 07:22:25 UTC 2026","passed","Sat May 16 07:22:25 UTC 2026","","Network — cy.intercept() showcase","",""
"","901","@regression missing last name shows validation error","","Sat May 16 07:22:06 UTC 2026","passed","Sat May 16 07:22:07 UTC 2026","","Checkout","",""
"","397","@regression add then remove item removes cart badge","","Sat May 16 07:22:12 UTC 2026","passed","Sat May 16 07:22:13 UTC 2026","","Inventory","",""
"","1823","@regression — login page meets performance budget","","Sat May 16 07:21:49 UTC 2026","failed","Sat May 16 07:21:51 UTC 2026","","Performance Audits — Lighthouse","",""
"","800","@regression missing first name shows validation error","","Sat May 16 07:22:06 UTC 2026","passed","Sat May 16 07:22:06 UTC 2026","","Checkout","",""
"","660","@regression stubs product images on inventory page with 404","","Sat May 16 07:22:24 UTC 2026","passed","Sat May 16 07:22:25 UTC 2026","","Network — cy.intercept() showcase","",""
"","1425","@regression — checkout step 1 meets performance budget","","Sat May 16 07:21:53 UTC 2026","failed","Sat May 16 07:21:54 UTC 2026","","Performance Audits — Lighthouse","",""
"","293","@regression sort price low→high lists cheapest first","","Sat May 16 07:22:13 UTC 2026","passed","Sat May 16 07:22:13 UTC 2026","","Inventory","",""
"","905","@regression valid credentials navigate to inventory","","Sat May 16 07:22:19 UTC 2026","passed","Sat May 16 07:22:20 UTC 2026","","Login","",""
"","540","@regression cancel checkout returns to cart","","Sat May 16 07:22:07 UTC 2026","passed","Sat May 16 07:22:08 UTC 2026","","Checkout","",""
"","232","@regression spies on JavaScript bundle requests during page load","","Sat May 16 07:22:24 UTC 2026","passed","Sat May 16 07:22:24 UTC 2026","","Network — cy.intercept() showcase","",""
"","312","@regression — cart page has no critical a11y violations","","Sat May 16 07:22:01 UTC 2026","passed","Sat May 16 07:22:01 UTC 2026","","Accessibility Audits","",""
"","312","@regression navigate to cart shows added item","","Sat May 16 07:22:13 UTC 2026","passed","Sat May 16 07:22:14 UTC 2026","","Inventory","",""
"","1796","@regression — inventory page meets performance budget","","Sat May 16 07:21:51 UTC 2026","failed","Sat May 16 07:21:53 UTC 2026","","Performance Audits — Lighthouse","",""
"","249","@smoke add item to cart increments badge to 1","","Sat May 16 07:22:12 UTC 2026","passed","Sat May 16 07:22:12 UTC 2026","","Inventory","",""
"","182","@smoke page loads all 6 products","","Sat May 16 07:22:12 UTC 2026","passed","Sat May 16 07:22:12 UTC 2026","","Inventory","",""
"","839","@regression — inventory page has no critical a11y violations","","Sat May 16 07:22:00 UTC 2026","passed","Sat May 16 07:22:00 UTC 2026","","Accessibility Audits","",""
"","16","@known-defect — inventory sort dropdown is missing an accessible label","","Sat May 16 07:22:00 UTC 2026","passed","Sat May 16 07:22:00 UTC 2026","","Accessibility Audits","",""
"","1065","@regression complete full checkout shows success confirmation","","Sat May 16 07:22:05 UTC 2026","passed","Sat May 16 07:22:06 UTC 2026","","Checkout","",""
