"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","938","@regression — inventory page has no critical a11y violations","","2026-05-29","passed","2026-05-29","","Accessibility Audits","",""
"","183","@regression spies on JavaScript bundle requests during page load","","2026-05-29","passed","2026-05-29","","Network — cy.intercept() showcase","",""
"","824","@regression missing first name shows validation error","","2026-05-29","passed","2026-05-29","","Checkout","",""
"","1972","@regression — inventory page meets performance budget","","2026-05-29","failed","2026-05-29","","Performance Audits — Lighthouse","",""
"","2090","@regression — login page meets performance budget","","2026-05-29","failed","2026-05-29","","Performance Audits — Lighthouse","",""
"","182","@smoke page loads all 6 products","","2026-05-29","passed","2026-05-29","","Inventory","",""
"","1002","@smoke invalid password shows error message","","2026-05-29","passed","2026-05-29","","Login","",""
"","938","@regression locked-out user sees specific error","","2026-05-29","passed","2026-05-29","","Login","",""
"","1100","@regression complete full checkout shows success confirmation","","2026-05-29","passed","2026-05-29","","Checkout","",""
"","924","@regression valid credentials navigate to inventory","","2026-05-29","passed","2026-05-29","","Login","",""
"","304","@regression sort price low→high lists cheapest first","","2026-05-29","passed","2026-05-29","","Inventory","",""
"","247","@regression — checkout step 1 has no critical a11y violations","","2026-05-29","passed","2026-05-29","","Accessibility Audits","",""
"","412","@regression add then remove item removes cart badge","","2026-05-29","passed","2026-05-29","","Inventory","",""
"","346","@regression — cart page has no critical a11y violations","","2026-05-29","passed","2026-05-29","","Accessibility Audits","",""
"","107","@regression modifies a JS bundle response to inject a custom header","","2026-05-29","passed","2026-05-29","","Network — cy.intercept() showcase","",""
"","449","@regression logout returns to login page","","2026-05-29","passed","2026-05-29","","Login","",""
"","384","@smoke empty username shows validation error","","2026-05-29","passed","2026-05-29","","Login","",""
"","310","@regression spies on initial page request and asserts 200","","2026-05-29","passed","2026-05-29","","Network — cy.intercept() showcase","",""
"","675","@regression stubs product images on inventory page with 404","","2026-05-29","passed","2026-05-29","","Network — cy.intercept() showcase","",""
"","563","@regression cancel checkout returns to cart","","2026-05-29","passed","2026-05-29","","Checkout","",""
"","20","@known-defect — inventory sort dropdown is missing an accessible label","","2026-05-29","passed","2026-05-29","","Accessibility Audits","",""
"","267","@smoke add item to cart increments badge to 1","","2026-05-29","passed","2026-05-29","","Inventory","",""
"","924","@regression missing last name shows validation error","","2026-05-29","passed","2026-05-29","","Checkout","",""
"","454","@smoke — login page has no critical a11y violations","","2026-05-29","passed","2026-05-29","","Accessibility Audits","",""
"","1485","@regression — checkout step 1 meets performance budget","","2026-05-29","failed","2026-05-29","","Performance Audits — Lighthouse","",""
"","320","@regression navigate to cart shows added item","","2026-05-29","passed","2026-05-29","","Inventory","",""
"","307","@regression sort A→Z lists products alphabetically","","2026-05-29","passed","2026-05-29","","Inventory","",""
