"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1025","@regression missing last name shows validation error","","Mon Apr 27 07:39:46 UTC 2026","passed","Mon Apr 27 07:39:48 UTC 2026","","Checkout","",""
"","1309","@regression complete full checkout shows success confirmation","","Mon Apr 27 07:39:44 UTC 2026","passed","Mon Apr 27 07:39:45 UTC 2026","","Checkout","",""
"","142","@regression modifies a JS bundle response to inject a custom header","","Mon Apr 27 07:40:09 UTC 2026","passed","Mon Apr 27 07:40:09 UTC 2026","","Network — cy.intercept() showcase","",""
"","1516","@regression — checkout step 1 meets performance budget","","Mon Apr 27 07:39:31 UTC 2026","failed","Mon Apr 27 07:39:32 UTC 2026","","Performance Audits — Lighthouse","",""
"","334","@regression sort A→Z lists products alphabetically","","Mon Apr 27 07:39:55 UTC 2026","passed","Mon Apr 27 07:39:55 UTC 2026","","Inventory","",""
"","473","@regression logout returns to login page","","Mon Apr 27 07:40:04 UTC 2026","passed","Mon Apr 27 07:40:04 UTC 2026","","Login","",""
"","1148","@smoke invalid password shows error message","","Mon Apr 27 07:40:00 UTC 2026","passed","Mon Apr 27 07:40:01 UTC 2026","","Login","",""
"","994","@regression locked-out user sees specific error","","Mon Apr 27 07:40:02 UTC 2026","passed","Mon Apr 27 07:40:03 UTC 2026","","Login","",""
"","747","@regression stubs product images on inventory page with 404","","Mon Apr 27 07:40:09 UTC 2026","passed","Mon Apr 27 07:40:09 UTC 2026","","Network — cy.intercept() showcase","",""
"","2465","@regression — login page meets performance budget","","Mon Apr 27 07:39:26 UTC 2026","failed","Mon Apr 27 07:39:28 UTC 2026","","Performance Audits — Lighthouse","",""
"","292","@regression — checkout step 1 has no critical a11y violations","","Mon Apr 27 07:39:39 UTC 2026","passed","Mon Apr 27 07:39:39 UTC 2026","","Accessibility Audits","",""
"","402","@regression — cart page has no critical a11y violations","","Mon Apr 27 07:39:38 UTC 2026","passed","Mon Apr 27 07:39:39 UTC 2026","","Accessibility Audits","",""
"","248","@regression spies on JavaScript bundle requests during page load","","Mon Apr 27 07:40:08 UTC 2026","passed","Mon Apr 27 07:40:08 UTC 2026","","Network — cy.intercept() showcase","",""
"","999","@regression missing first name shows validation error","","Mon Apr 27 07:39:45 UTC 2026","passed","Mon Apr 27 07:39:46 UTC 2026","","Checkout","",""
"","22","@known-defect — inventory sort dropdown is missing an accessible label","","Mon Apr 27 07:39:38 UTC 2026","passed","Mon Apr 27 07:39:38 UTC 2026","","Accessibility Audits","",""
"","571","@smoke — login page has no critical a11y violations","","Mon Apr 27 07:39:37 UTC 2026","passed","Mon Apr 27 07:39:37 UTC 2026","","Accessibility Audits","",""
"","324","@regression sort price low→high lists cheapest first","","Mon Apr 27 07:39:55 UTC 2026","passed","Mon Apr 27 07:39:55 UTC 2026","","Inventory","",""
"","1049","@regression — inventory page has no critical a11y violations","","Mon Apr 27 07:39:37 UTC 2026","passed","Mon Apr 27 07:39:38 UTC 2026","","Accessibility Audits","",""
"","981","@regression valid credentials navigate to inventory","","Mon Apr 27 07:40:03 UTC 2026","passed","Mon Apr 27 07:40:04 UTC 2026","","Login","",""
"","348","@regression navigate to cart shows added item","","Mon Apr 27 07:39:56 UTC 2026","passed","Mon Apr 27 07:39:56 UTC 2026","","Inventory","",""
"","426","@smoke empty username shows validation error","","Mon Apr 27 07:40:01 UTC 2026","passed","Mon Apr 27 07:40:02 UTC 2026","","Login","",""
"","624","@regression cancel checkout returns to cart","","Mon Apr 27 07:39:48 UTC 2026","passed","Mon Apr 27 07:39:48 UTC 2026","","Checkout","",""
"","2145","@regression — inventory page meets performance budget","","Mon Apr 27 07:39:29 UTC 2026","failed","Mon Apr 27 07:39:31 UTC 2026","","Performance Audits — Lighthouse","",""
"","415","@regression spies on initial page request and asserts 200","","Mon Apr 27 07:40:08 UTC 2026","passed","Mon Apr 27 07:40:08 UTC 2026","","Network — cy.intercept() showcase","",""
"","450","@regression add then remove item removes cart badge","","Mon Apr 27 07:39:54 UTC 2026","passed","Mon Apr 27 07:39:55 UTC 2026","","Inventory","",""
"","201","@smoke page loads all 6 products","","Mon Apr 27 07:39:54 UTC 2026","passed","Mon Apr 27 07:39:54 UTC 2026","","Inventory","",""
"","299","@smoke add item to cart increments badge to 1","","Mon Apr 27 07:39:54 UTC 2026","passed","Mon Apr 27 07:39:54 UTC 2026","","Inventory","",""
