"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1069","XSS payload in login field is handled safely","","2026-09-14","passed","2026-09-14","","","",""
"","1125","Multiple user types can access the dashboard -- @1.1 ","","2026-09-14","passed","2026-09-14","","","",""
"","67","Multiple endpoints return expected status codes -- @1.1 ","","2026-09-14","passed","2026-09-14","","","",""
"","1203","Cart persists multiple items","","2026-09-14","passed","2026-09-14","","","",""
"","70","Multiple endpoints return expected status codes -- @1.3 ","","2026-09-14","passed","2026-09-14","","","",""
"","1065","Login with multiple user types -- @1.3 ","","2026-09-14","passed","2026-09-14","","","",""
"","6131","Login with multiple user types -- @1.4 ","","2026-09-14","passed","2026-09-14","","","",""
"","76","Multiple endpoints return expected status codes -- @1.4 ","","2026-09-14","passed","2026-09-14","","","",""
"","1697","User can logout from the dashboard","","2026-09-14","passed","2026-09-14","","","",""
"","1184","Add a single item to the cart","","2026-09-14","passed","2026-09-14","","","",""
"","1220","Add multiple items to the cart","","2026-09-14","passed","2026-09-14","","","",""
"","69","Multiple endpoints return expected status codes -- @1.2 ","","2026-09-14","passed","2026-09-14","","","",""
"","1082","Login with multiple user types -- @1.1 ","","2026-09-14","passed","2026-09-14","","","",""
"","1634","Repeated failed logins do not lock out a valid user permanently","","2026-09-14","passed","2026-09-14","","","",""
"","1060","SQL injection attempt is safely rejected","","2026-09-14","passed","2026-09-14","","","",""
"","1","Security response headers are present","","2026-09-14","skipped","2026-09-14","","","",""
"","1167","Navigate to checkout after adding an item","","2026-09-14","passed","2026-09-14","","","",""
"","6104","Multiple user types can access the dashboard -- @1.3 ","","2026-09-14","passed","2026-09-14","","","",""
"","1095","Multiple user types can access the dashboard -- @1.2 ","","2026-09-14","passed","2026-09-14","","","",""
"","1111","Successful login with valid credentials","","2026-09-14","passed","2026-09-14","","","",""
"","108","User endpoint returns correct data","","2026-09-14","passed","2026-09-14","","","",""
"","910","Direct URL access without login redirects to login page","","2026-09-14","passed","2026-09-14","","","",""
"","10720","Cart reflects item added from inventory","","2026-09-14","passed","2026-09-14","","","",""
"","1148","Add then remove an item","","2026-09-14","passed","2026-09-14","","","",""
"","68","Users list endpoint returns multiple records","","2026-09-14","passed","2026-09-14","","","",""
"","1095","Login with multiple user types -- @1.2 ","","2026-09-14","passed","2026-09-14","","","",""
"","1033","Failed login with invalid credentials","","2026-09-14","passed","2026-09-14","","","",""
