"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","411","@smoke — login page has no critical a11y violations","","2026-07-26","passed","2026-07-26","","Accessibility Audits","",""
"","1","@regression — checkout step 1 meets performance budget","","2026-07-26","skipped","2026-07-26","","Performance Audits — Lighthouse","",""
"","290","@regression — checkout step 1 has no critical a11y violations","","2026-07-26","passed","2026-07-26","","Accessibility Audits","",""
"","322","@regression navigate to cart shows added item","","2026-07-26","passed","2026-07-26","","Inventory","",""
"","1023","@regression stubs product images on inventory page with 404","","2026-07-26","passed","2026-07-26","","Network — cy.intercept() showcase (shared session)","",""
"","1122","@regression complete full checkout shows success confirmation","","2026-07-26","passed","2026-07-26","","Checkout","",""
"","407","@regression add then remove item removes cart badge","","2026-07-26","passed","2026-07-26","","Inventory","",""
"","475","@regression logout returns to login page","","2026-07-26","passed","2026-07-26","","Login","",""
"","3","@regression — inventory page meets performance budget","","2026-07-26","skipped","2026-07-26","","Performance Audits — Lighthouse","",""
"","343","@regression modifies a JS bundle response to inject a custom header","","2026-07-26","passed","2026-07-26","","Network — cy.intercept() showcase (JS bundles)","",""
"","942","@regression locked-out user sees specific error","","2026-07-26","passed","2026-07-26","","Login","",""
"","302","@regression sort price low→high lists cheapest first","","2026-07-26","passed","2026-07-26","","Inventory","",""
"","294","@regression sort A→Z lists products alphabetically","","2026-07-26","passed","2026-07-26","","Inventory","",""
"","3","@regression — login page meets performance budget","","2026-07-26","skipped","2026-07-26","","Performance Audits — Lighthouse","",""
"","262","@smoke add item to cart increments badge to 1","","2026-07-26","passed","2026-07-26","","Inventory","",""
"","994","@regression — inventory page has no critical a11y violations","","2026-07-26","passed","2026-07-26","","Accessibility Audits","",""
"","922","@regression missing last name shows validation error","","2026-07-26","passed","2026-07-26","","Checkout","",""
"","932","@regression valid credentials navigate to inventory","","2026-07-26","passed","2026-07-26","","Login","",""
"","380","@regression — cart page has no critical a11y violations","","2026-07-26","passed","2026-07-26","","Accessibility Audits","",""
"","845","@regression missing first name shows validation error","","2026-07-26","passed","2026-07-26","","Checkout","",""
"","328","@regression spies on initial page request and asserts 200","","2026-07-26","passed","2026-07-26","","Network — cy.intercept() showcase (shared session)","",""
"","257","@regression spies on JavaScript bundle requests during page load","","2026-07-26","passed","2026-07-26","","Network — cy.intercept() showcase (JS bundles)","",""
"","179","@smoke page loads all 6 products","","2026-07-26","passed","2026-07-26","","Inventory","",""
"","382","@smoke empty username shows validation error","","2026-07-26","passed","2026-07-26","","Login","",""
"","548","@regression cancel checkout returns to cart","","2026-07-26","passed","2026-07-26","","Checkout","",""
"","1040","@smoke invalid password shows error message","","2026-07-26","passed","2026-07-26","","Login","",""
"","25","@known-defect — inventory sort dropdown is missing an accessible label","","2026-07-26","passed","2026-07-26","","Accessibility Audits","",""
