"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Multiple endpoints return expected status codes -- @1.2 ","","2026-06-28","passed","2026-06-28","","","",""
"","983","Navigate to checkout after adding an item","","2026-06-28","passed","2026-06-28","","","",""
"","1014","Add a single item to the cart","","2026-06-28","passed","2026-06-28","","","",""
"","922","Multiple user types can access the dashboard -- @1.1 ","","2026-06-28","passed","2026-06-28","","","",""
"","1087","Cart persists multiple items","","2026-06-28","passed","2026-06-28","","","",""
"","5923","Login with multiple user types -- @1.4 ","","2026-06-28","passed","2026-06-28","","","",""
"","658","Direct URL access without login redirects to login page","","2026-06-28","passed","2026-06-28","","","",""
"","902","Login with multiple user types -- @1.2 ","","2026-06-28","passed","2026-06-28","","","",""
"","19","Users list endpoint returns multiple records","","2026-06-28","passed","2026-06-28","","","",""
"","1534","User can logout from the dashboard","","2026-06-28","passed","2026-06-28","","","",""
"","920","Multiple user types can access the dashboard -- @1.2 ","","2026-06-28","passed","2026-06-28","","","",""
"","21","Multiple endpoints return expected status codes -- @1.3 ","","2026-06-28","passed","2026-06-28","","","",""
"","928","Successful login with valid credentials","","2026-06-28","passed","2026-06-28","","","",""
"","1540","Repeated failed logins do not lock out a valid user permanently","","2026-06-28","passed","2026-06-28","","","",""
"","33","Multiple endpoints return expected status codes -- @1.4 ","","2026-06-28","passed","2026-06-28","","","",""
"","1039","Add multiple items to the cart","","2026-06-28","passed","2026-06-28","","","",""
"","971","Add then remove an item","","2026-06-28","passed","2026-06-28","","","",""
"","18486","Cart reflects item added from inventory","","2026-06-28","passed","2026-06-28","","","",""
"","890","SQL injection attempt is safely rejected","","2026-06-28","passed","2026-06-28","","","",""
"","876","Failed login with invalid credentials","","2026-06-28","passed","2026-06-28","","","",""
"","867","Login with multiple user types -- @1.3 ","","2026-06-28","passed","2026-06-28","","","",""
"","39","User endpoint returns correct data","","2026-06-28","passed","2026-06-28","","","",""
"","1","Security response headers are present","","2026-06-28","skipped","2026-06-28","","","",""
"","880","XSS payload in login field is handled safely","","2026-06-28","passed","2026-06-28","","","",""
"","921","Login with multiple user types -- @1.1 ","","2026-06-28","passed","2026-06-28","","","",""
"","5927","Multiple user types can access the dashboard -- @1.3 ","","2026-06-28","passed","2026-06-28","","","",""
"","20","Multiple endpoints return expected status codes -- @1.1 ","","2026-06-28","passed","2026-06-28","","","",""
