"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Dashboard Functionality","4","0","","0"
"0","","1","Inventory Page Functionality","3","0","","0"
"0","","0","Login Functionality","6","0","","0"
"0","","1","Shopping Cart Functionality","1","0","","0"
"0","","0","API Health and Data Integrity","6","0","","0"
"0","","0","Security","3","1","","0"
