"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","299","@regression sort A→Z lists products alphabetically","","2026-06-16","passed","2026-06-16","","Inventory","",""
"","449","@regression logout returns to login page","","2026-06-16","passed","2026-06-16","","Login","",""
"","906","@regression missing last name shows validation error","","2026-06-16","passed","2026-06-16","","Checkout","",""
"","949","@regression locked-out user sees specific error","","2026-06-16","passed","2026-06-16","","Login","",""
"","418","@regression add then remove item removes cart badge","","2026-06-16","passed","2026-06-16","","Inventory","",""
"","1006","@smoke invalid password shows error message","","2026-06-16","passed","2026-06-16","","Login","",""
"","464","@smoke — login page has no critical a11y violations","","2026-06-16","passed","2026-06-16","","Accessibility Audits","",""
"","349","@regression — cart page has no critical a11y violations","","2026-06-16","passed","2026-06-16","","Accessibility Audits","",""
"","2089","@regression — login page meets performance budget","","2026-06-16","failed","2026-06-16","","Performance Audits — Lighthouse","",""
"","20","@known-defect — inventory sort dropdown is missing an accessible label","","2026-06-16","passed","2026-06-16","","Accessibility Audits","",""
"","558","@regression cancel checkout returns to cart","","2026-06-16","passed","2026-06-16","","Checkout","",""
"","392","@regression spies on initial page request and asserts 200","","2026-06-16","passed","2026-06-16","","Network — cy.intercept() showcase","",""
"","1097","@regression complete full checkout shows success confirmation","","2026-06-16","passed","2026-06-16","","Checkout","",""
"","924","@regression valid credentials navigate to inventory","","2026-06-16","passed","2026-06-16","","Login","",""
"","248","@regression — checkout step 1 has no critical a11y violations","","2026-06-16","passed","2026-06-16","","Accessibility Audits","",""
"","382","@smoke empty username shows validation error","","2026-06-16","passed","2026-06-16","","Login","",""
"","827","@regression missing first name shows validation error","","2026-06-16","passed","2026-06-16","","Checkout","",""
"","234","@regression spies on JavaScript bundle requests during page load","","2026-06-16","passed","2026-06-16","","Network — cy.intercept() showcase","",""
"","308","@regression sort price low→high lists cheapest first","","2026-06-16","passed","2026-06-16","","Inventory","",""
"","328","@regression navigate to cart shows added item","","2026-06-16","passed","2026-06-16","","Inventory","",""
"","271","@smoke add item to cart increments badge to 1","","2026-06-16","passed","2026-06-16","","Inventory","",""
"","673","@regression stubs product images on inventory page with 404","","2026-06-16","passed","2026-06-16","","Network — cy.intercept() showcase","",""
"","1470","@regression — checkout step 1 meets performance budget","","2026-06-16","failed","2026-06-16","","Performance Audits — Lighthouse","",""
"","1965","@regression — inventory page meets performance budget","","2026-06-16","failed","2026-06-16","","Performance Audits — Lighthouse","",""
"","927","@regression — inventory page has no critical a11y violations","","2026-06-16","passed","2026-06-16","","Accessibility Audits","",""
"","103","@regression modifies a JS bundle response to inject a custom header","","2026-06-16","passed","2026-06-16","","Network — cy.intercept() showcase","",""
"","184","@smoke page loads all 6 products","","2026-06-16","passed","2026-06-16","","Inventory","",""
